Age,Estimated Salary,Purchase
56,28392,0
46,50535,1
32,98603,0
25,133569,0
38,72256,0
56,109135,0
36,147478,1
40,55222,1
28,97373,0
28,99575,0
41,143684,0
53,116354,1
57,104651,1
41,83335,0
20,30965,0
39,44538,0
19,128066,0
41,90592,1
47,118018,0
55,133252,1
19,28110,0
38,99309,1
50,47266,0
29,72992,0
39,102948,1
42,142073,1
44,118806,0
59,26910,0
45,130989,0
33,110982,1
32,141626,1
20,139176,0
54,20206,0
24,107054,0
38,107897,1
26,142409,0
56,43419,0
35,70636,1
21,142546,0
42,134238,1
31,70015,0
26,137478,0
43,142096,1
19,127059,0
37,74268,0
45,130687,1
24,107939,0
25,38141,0
52,100356,1
31,125878,1
34,91910,1
53,76044,0
57,87214,1
21,137930,0
19,139324,0
23,53827,0
59,75820,1
21,82623,0
46,101734,0
35,95450,1
43,113426,1
51,137845,1
27,42299,0
53,63585,0
31,129225,0
48,84044,1
32,62557,1
25,69080,0
31,129556,1
40,22693,0
57,115003,1
38,115259,1
33,132235,1
35,89163,1
41,45939,0
43,68925,1
42,62941,1
58,41834,0
46,38047,0
32,46105,0
18,95766,0
42,35707,0
24,41976,0
26,64262,0
41,145117,0
18,43776,0
25,50080,0
41,148376,1
28,86842,0
34,81373,1
25,26776,0
52,112787,1
52,147948,1
50,75016,1
22,29474,0
59,125830,1
56,78053,1
58,41959,0
45,25530,0
24,114856,0
