CGPA,Score,Placed
5.16,95.4,1
8.18,62.0,0
6.57,57.2,0
7.54,74.5,1
9.54,99.3,1
6.25,62.1,0
7.05,83.6,0
8.78,88.1,1
6.14,61.9,0
5.38,86.4,0
6.45,68.4,1
5.81,81.6,1
9.65,81.7,1
9.04,76.8,0
8.17,54.5,1
9.36,91.8,0
9.02,66.0,0
5.93,59.3,1
9.46,52.0,1
7.7,79.5,1
9.04,83.9,1
9.48,50.8,1
6.59,75.6,0
5.55,61.3,0
6.14,82.3,0
7.14,58.7,0
9.09,84.5,1
9.3,69.3,0
5.03,96.8,1
7.55,56.9,1
7.09,67.1,1
6.11,55.7,1
5.6,96.2,1
6.69,93.9,1
9.71,62.9,0
6.62,83.0,1
7.59,90.9,0
8.52,77.8,0
6.82,76.5,1
9.86,62.1,0
9.81,54.7,1
6.26,94.9,1
7.49,95.0,1
6.5,81.7,0
6.42,67.0,0
5.18,67.5,1
8.05,86.3,1
7.51,94.9,1
5.26,94.4,1
6.39,89.0,1
