cgpa,score,Placed
6.87,67,0
9.75,75,1
8.66,93,1
7.99,83,1
5.78,59,0
5.78,85,0
5.29,63,0
9.33,80,1
8.01,97,1
8.54,64,0
5.1,57,0
9.85,63,0
9.16,72,1
6.06,89,0
5.91,70,0
5.92,65,0
6.52,94,0
7.62,67,0
7.16,96,1
6.46,73,0
8.06,75,1
5.7,74,0
6.46,94,0
6.83,90,0
7.28,78,1
8.93,64,0
6.0,94,0
7.57,50,0
7.96,74,1
5.23,56,0
8.04,58,0
5.85,73,0
5.33,50,0
9.74,93,1
9.83,57,0
9.04,73,1
6.52,60,0
5.49,100,0
8.42,66,0
7.2,57,0
5.61,84,0
7.48,84,1
5.17,82,0
9.55,54,0
6.29,91,0
8.31,88,1
6.56,90,0
7.6,77,1
7.73,56,0
5.92,58,0
