Age,Experience,Salary
59,38,101121.1
49,30,92061.1
35,14,52601.79
28,5,37261.86
41,20,59688.03
59,38,103141.54
39,14,52064.28
43,22,73928.65
31,10,50936.93
31,11,59947.82
44,25,77898.17
56,36,98628.98
44,23,71971.92
23,1,25234.17
42,24,74692.42
22,1,25522.99
44,23,71842.3
50,29,89587.99
58,37,93967.29
22,1,32699.39
41,20,71585.58
53,32,88409.66
32,11,36390.73
42,21,63960.89
45,23,77484.97
47,26,76885.66
48,27,74003.49
36,17,56476.13
35,11,51203.1
23,3,33733.67
57,37,97805.34
27,3,29165.88
41,20,63041.21
29,8,36387.95
59,36,105076.88
38,16,55388.4
24,2,35085.79
45,26,84606.58
34,14,57991.55
29,9,40841.9
46,26,79018.65
22,0,24879.02
40,19,58481.49
48,27,80621.8
27,5,29104.8
28,8,46938.4
55,34,90676.91
34,13,52005.8
37,17,60416.44
56,35,93705.48
24,3,33933.47
22,2,26625.48
26,4,37356.49
24,3,24270.1
49,28,81631.9
38,17,68694.64
46,25,69998.34
54,32,85611.28
30,10,47569.54
56,35,95897.91
34,13,52753.15
51,31,89445.94
35,13,54173.61
28,5,40548.5
34,11,49049.09
43,22,67793.71
41,19,66362.87
36,17,68499.41
38,14,52336.83
44,25,70127.35
46,25,80535.4
45,24,72398.09
49,28,70136.65
35,14,57237.11
21,0,22323.36
45,25,74547.33
27,6,38659.9
29,8,41952.5
44,23,74547.26
21,0,22822.57
28,7,41565.53
44,21,65702.27
31,8,44694.05
37,17,62076.84
28,7,34322.81
55,34,98429.91
55,34,90320.18
53,32,93040.29
25,4,34836.44
59,37,108190.92
48,27,77882.67
27,5,33253.42
29,8,40902.9
28,5,33484.1
32,12,52999.71
54,33,82918.45
53,32,83731.59
43,23,65660.99
44,25,79751.54
57,37,107553.07
55,32,88477.75
42,20,64155.89
47,26,77350.26
55,34,98809.39
21,0,20363.23
55,33,92191.84
57,36,101875.99
34,12,51505.47
23,2,29947.91
21,0,30005.23
25,3,17483.84
46,23,74389.38
34,12,45729.62
59,39,93846.84
47,25,77556.01
29,11,53868.29
35,14,52312.76
35,14,57764.37
46,24,81061.39
33,13,57574.57
52,31,95199.82
59,38,104710.64
52,34,93377.17
24,3,22990.17
50,30,83769.69
57,35,90783.77
43,22,79854.71
59,40,104120.57
35,14,53616.02
49,30,87757.43
56,36,97218.01
33,12,57475.26
52,31,83886.75
27,7,39973.04
42,21,63287.65
48,25,68399.89
22,0,21941.15
26,5,34814.82
48,27,76853.49
48,27,75537.9
40,19,55968.41
50,27,78584.47
31,10,37476.4
48,27,82800.28
45,24,73412.2
59,39,95712.24
53,33,89453.95
21,0,21239.22
47,26,78595.87
33,10,51702.25
23,2,19624.14
59,38,101575.13
26,5,34199.34
28,6,40356.7
47,25,76065.98
29,9,39240.15
57,36,95404.73
53,33,87019.87
44,23,76380.04
35,14,53106.56
52,32,98505.95
52,31,86696.7
44,23,67457.97
32,11,39431.43
59,38,91984.3
22,1,19079.32
23,2,30335.63
57,36,99543.63
37,17,51094.05
22,0,29475.19
22,1,24584.69
48,27,79733.97
43,24,81061.1
57,36,101484.2
52,32,87657.35
53,30,80544.04
21,0,14240.92
39,19,59404.23
22,1,25944.35
46,26,72064.1
52,31,86343.72
26,7,39384.26
52,34,91875.72
24,3,27749.99
31,10,45843.27
37,18,63209.7
58,39,97548.0
44,23,78054.66
25,4,32507.06
54,33,91094.25
26,3,34541.07
42,20,66166.08
31,9,47765.68
36,14,54435.62
53,32,85937.81
29,8,42807.52
26,7,33281.37
36,14,53542.8
49,29,82833.85
23,2,27959.42
40,19,62357.31
56,36,87590.75
39,17,56256.38
46,25,75464.22
23,2,29799.28
39,18,55861.62
40,19,69328.54
52,34,88669.13
27,6,41847.29
53,32,91135.97
59,38,97768.86
38,17,67876.55
21,0,19031.82
31,11,51595.77
48,29,88002.91
45,24,69646.9
43,21,73962.33
51,30,83749.77
50,29,84443.47
55,34,94301.61
27,6,36328.46
36,13,55054.04
46,27,82967.44
22,3,22257.34
21,0,31521.7
32,11,38687.54
25,4,38162.73
57,36,102633.53
52,31,81545.17
29,11,44945.93
55,34,87471.48
39,17,57925.39
36,13,49459.83
23,1,30898.3
40,19,69551.54
44,25,81978.42
53,32,86189.16
44,23,69953.89
31,10,36582.81
28,8,36970.65
56,38,105824.26
58,37,107077.91
40,19,56828.26
55,35,92037.68
45,25,74867.97
55,36,98400.81
45,24,68951.98
49,28,83120.31
38,17,56630.8
38,18,60927.74
22,2,31731.42
55,34,93032.11
36,16,54818.07
56,36,96451.95
53,34,92558.19
24,3,29149.94
53,32,87706.02
34,13,58993.24
41,21,69804.6
40,18,59522.6
28,7,42484.77
27,6,35330.9
23,2,34865.62
37,17,60848.21
53,32,88463.49
32,11,49238.58
42,19,55145.62
42,22,63366.16
50,29,77030.37
58,40,105714.72
58,37,107662.57
28,7,50156.5
47,26,80190.26
47,28,83504.22
54,33,81994.71
41,20,62286.63
50,29,79061.08
53,32,85895.76
48,27,78159.28
53,32,86639.55
25,5,25103.5
39,17,62739.55
24,3,25636.28
55,33,92196.23
37,17,69370.41
48,25,70403.08
50,29,70348.56
49,28,79569.98
26,7,44504.8
55,34,102791.74
57,36,90852.25
44,25,77483.5
49,26,74673.45
51,27,78470.26
55,34,106221.72
53,32,81485.15
41,19,64268.7
52,32,91338.47
43,22,74428.93
53,32,89489.92
23,1,28540.25
38,18,59041.76
45,24,74345.63
51,30,83284.04
23,4,36107.86
44,22,67151.95
52,29,84885.5
42,20,64853.69
43,22,74630.25
22,1,26743.03
47,26,68134.84
22,1,33309.61
46,24,68471.34
37,18,57731.17
53,32,86021.69
29,9,49872.19
59,38,90321.63
49,28,96688.74
46,25,80280.28
55,34,94116.19
45,24,72725.53
44,24,74427.77
33,12,51605.61
27,7,42226.08
56,35,97778.02
40,21,67447.9
21,0,24013.31
28,9,42243.63
36,15,54025.46
34,11,52668.85
32,11,49967.78
43,21,52298.06
35,15,58279.5
48,27,79973.68
54,33,90906.46
22,0,23057.41
52,31,92620.56
43,19,67737.63
42,19,59135.61
45,25,77035.26
42,22,64141.72
42,21,60101.91
26,4,29866.41
35,14,57311.97
57,36,101765.63
53,31,89565.43
28,9,46625.48
25,5,37580.89
59,38,97792.59
24,3,33159.61
26,5,39002.05
52,28,84771.46
50,29,88944.57
55,33,94541.52
36,14,54757.24
33,12,54350.75
50,31,86867.39
39,18,56590.63
37,16,56184.67
39,18,57275.49
48,29,79624.11
46,26,76277.41
57,36,93037.9
46,25,73460.19
43,23,61531.93
29,8,42066.47
32,12,49006.03
21,0,20914.56
21,1,30296.23
54,33,95687.85
52,32,80962.2
45,24,69186.38
21,3,27154.29
36,14,48300.48
59,40,109147.37
25,4,32030.87
42,21,65677.43
49,28,70980.69
23,2,32177.09
32,11,40803.71
46,25,75299.66
36,15,56386.88
57,36,103803.29
42,24,66455.9
49,30,69902.44
34,13,51919.25
48,27,88002.56
25,4,39194.73
50,29,84048.3
25,3,28541.82
32,11,51035.61
36,13,46132.27
46,25,77381.79
46,25,77527.35
41,20,70301.05
59,40,118798.3
56,34,94962.08
53,30,82455.18
50,29,82872.13
57,37,90154.62
43,24,69526.43
30,9,40953.59
25,5,32379.56
56,35,95761.77
54,33,86887.9
51,31,92605.15
30,9,43001.04
39,16,56953.5
52,33,89360.53
21,2,29775.95
25,4,37125.49
24,3,26664.35
36,15,51709.42
44,23,69481.37
36,15,48270.65
22,0,20903.71
48,27,76618.9
52,32,93371.95
47,26,78312.81
40,19,63967.95
44,24,77254.49
32,7,38313.14
55,35,96952.32
53,30,84483.89
53,32,90326.81
57,35,92086.21
32,10,32805.91
23,3,30328.6
21,0,32113.74
53,32,93631.08
30,9,47826.99
49,28,87180.65
33,12,49443.29
32,10,45986.58
51,31,83911.74
22,1,25419.64
55,32,92078.86
43,22,75019.42
37,18,60302.77
46,26,74749.05
28,7,39002.64
49,28,84006.03
46,25,67780.73
30,12,37519.1
46,25,72247.32
54,33,84896.44
27,7,36459.3
24,3,30261.1
31,10,42733.76
49,28,88262.34
56,35,96633.72
45,24,74502.37
41,21,70111.04
56,35,89305.83
30,10,50195.56
57,36,96621.18
29,8,44352.4
44,21,61640.71
55,35,87231.21
55,34,97089.45
56,36,98882.05
38,13,46489.74
59,41,102651.68
52,31,92627.17
44,24,67052.94
43,21,75213.36
52,31,82496.9
57,35,98191.96
32,11,45356.91
33,14,56015.94
43,22,66279.43
45,24,72186.04
55,35,95204.6
50,29,77989.06
37,16,60704.12
40,19,60433.93
45,27,77857.0
42,21,62028.25
33,12,36188.33
39,19,62044.86
56,36,109063.08
32,12,52923.02
39,18,60903.7
32,10,43685.55
29,10,45112.33
27,5,37735.6
48,27,73095.94
